,index,title,newstitle,content,abstract
32,5,social medium post say stress level right,social medium post say stress level right,social medium post say stress anxiety level think getty mental health teenager impact pandemic increase addiction substance use related content social medium indicate public self medicate tweet show negative indicator trend mental health state harshly impact statistic base publicly available time publicati,social medium post reveal psychologically emotionally handle situation pandemic without u realize
33,6,rural america could region hardest hit outbreak,rural america could hardest hit,expert say rural area older population less healthy few medical facility urban suburban region jeremy hogan echo wire barcroft medium via getty pandemic already swept city urban center illness appear build infectious prairie fire rural america well large town midwest nt case month ago many rural community nt see anything sim,expert say rural area older population less healthy few medical facility urban suburban region
34,7,expert warn use offlabel medication treatment,expert warn use offlabel medication treatment,early study indicate antimalarial drug might effective treat expert say research need people nt use label medication kay nietfeld picture alliance via getty statistic base publicly available time publication information date visit hub follow live update page recent information outbreak study publ,tweet president trump heighten interest antimalarial drug possible treatment expert say research need people take drug
35,8,soak sun treat isnt bright idea,soak sun treat isnt bright idea,expert say study show ultraviolet radiation kill microorganism sanction therapy exposure dangerous health getty research do ultraviolet radiation way kill microorganism sanction therapy research do show exposure dangerous people health new research show medical misinformation spread public,expert say study show ultraviolet radiation kill microorganism sanction therapy exposure dangerous health
36,9,long recovery period survive,long recovery period survive,people hospitalize full recovery take week month getty recovered case united state nearly double number death accord john hopkins resource center even people officially recover feeling percent normal long process pulmonary rehabilitation part recovery process since illness often,even people officially recover feeling percent normal long process
37,10,cook chicken degree critical ensure safety prevent illness,safety tip buy prepare cooking chicken,researcher say many home method check see chicken safe eat nt effective particular note color meat inside chicken nt good indicator expert say food thermometer best safety method check see chicken cook least half home cook misjudge chicken safe eat accord norwegian institute food fishery aquaculture research study re,expert say food thermometer color meat inside chicken best way make sure cook chicken safe eat
38,11,hit men hard woman,hit men hard woman,expert say biology well behavior among reason men woman develop die disease getty several study show men die woman expert say part reason woman tend strong immune system men add men tend engage risky behavior ignore physical distancing nt take symptom seriously statistic base,expert say biology behavior among reason men woman die
39,12,test right,test right,researcher hop antibody test help understand immune getty infection clear antibody continue exist blood person expose antibody rush site viral exposure use memory blunt cause harm person show antibody new nt necessarily mean immune reinfection statistic,readily available effective vaccine pull u pandemic several month reach point know respiratory infection think key reopen economy
40,13,toddler teen help kid cope stress,toddler teen help kid cope stress,kid process stress anxiety differently different age parent help tailor child need age getty adult kid struggle right struggle manifest parent help vary age young child regress need age appropriate explanation depression among teenager rise result physical distancing miss event online counselor,kid process stress anxiety differently depend old parent help kid every age
41,14,lose sense smell early symptom,lose sense smell early symptom,researcher say people report lose sense smell symptom people look getty researcher say lose one sense smell symptom recently lose sense smell keep eye symptom fever persistent cough symptom present best seek medical help loss smell relate sense likely,researcher say people report lose sense smell symptom people look
42,15,cancer survivor stay job fear lose health insurance,cancer survivor stay job health insurance,expert say cancer survivor well spouses partner experience job lock continue workplace maintain current health insurance getty researcher say percent cancer survivor job lock stay job mainly keep health insurance expert say cancer survivor take time fully understand health coverage work alternative health insurance affordable care act,expert say cancer survivor well spouses partner experience job lock continue workplace maintain current health insurance
43,16,donate plasma help others pandemic,donate plasma help others pandemic,accord fda plasma donation help many four people getty food drug administration fda encouraging people recover confirmed infection new consider donate plasma injected people severe form infection treatment call variation use treat infectious disease previous variation fda say donat,fda encouraging people recover confirmed infection new consider donate plasma injected people severe form infection
44,17,parent help child stress,parent help child stress,expert say parent practice self care emotionally equip help child deal anxiety getty researcher say child tell parent stress even parent try hide anxiety expert say pandemic important parent acknowledge stress child age appropriate manner add parent practice self care able take care ch,expert say parent practice self care first emotionally equip help child deal anxiety
45,18,american accidentally poison clean supply,american accidentally poison clean supply,expert warn people expose cleaner disinfectant especially among child getty call u poison control center chemical cleaner disinfectant surge percent january march compare prior year report indicate uptick poison clearly associate spread mount worry different age group show increase exposure cleaner disinfectant young childr,new report indicate uptick poison clearly associate spread mount worry
46,19,unusual symptom miss,unusual symptom miss,cdc recently add new know symptom getty expert still learn symptom infection loss smell dizziness rash among symptoms people miss cardiovascular blood clot issue become problem people disease statistic base publicly available time publication information date visit hub follow li,people present less typical symptom nausea diarrhea delirium chickenpox lesion
47,20,help researcher leave living room,help researcher here,even stick home able help researcher getty researcher rice university seek volunteer crowdsourced study help good understand impact pandemic nt even leave couch involve research play role citizen scientist crowdsourced study empower experience time many people feel vulnerable statistic base publicly available da,researcher rice university seek volunteer crowdsourced study help good understand impact pandemic nt even leave couch involve
48,21,protest party gather group terrible idea right,protest party gather group terrible idea right,cdc refer large gathering potential super spread event could possibly undo progress battle getty despite warn gather group contribute spread people meet large number party beach political protest spread link social gathering center disease control prevention cdc refer gathering,cdc refer large gathering potential super spread event could possibly undo progress battle
49,22,fda issue warn hydroxychloroquine heart issue,fda issue warn hydroxycholorquine heart issue,health expert warn experimental drug find effective widely available getty antimalarial drug hydroxychloroquine widely promote cure still lack good true benefit small clinical trial show possible benefit others show opposite fda reissue warn people nt take drug without doctor supervision antimalarial drug hydroxychloroquine,result large well design trial currently underway hydroxychloroquine chloroquine use close supervision physician
50,23,race nursing home family,race nursing home family,expert say nurse facility nt really set deal pandemic getty expert say nurse facility nt well equip handle pandemic recommend family member love one nurse home communicate many employee possible recommend regular facetime session love one well bring read material statistic base publicly available,expert say nurse facility nt really set deal pandemic
51,24,many percent people arent aware,percent people arent aware,researcher say percent percent people unaware allow novel spread rapidly throughout community expert say carrier without symptom make even important people wear face mask public statistic base publicly available time publication information date visit hub follow live update page,expert say carrier symptom allow spread quickly easily reason face mask become important
52,25,sure symptom flu allergy,different symptom flu allergy,fatigue body ache symptom flu novel flu usually nt cause shortness breath getty expert note novel flu allergy different symptom main symptom novel fever tiredness cough shortness breath allergy chronic symptom include sneeze wheeze cough flu symptom similar novel fever bod,fatigue body ache symptom flu new flu usually nt cause shortness breath
53,26,controversial study find far widespread previously know,controversial study find widespread,expert try determine many people develop getty researcher try determine many people already expose cause become immune stanford researcher sample resident discover many antibody sars cov blood know stanford finding nt yet peer review question raise sample size small another study,early research california find time people santa clara county time people los angeles previously estimate
54,27,risk death four time great diabetes,risk death four time great diabetes,people live diabetes four time great risk death nt live condition getty new research find people diabetes poorly manage hyperglycemia hospitalize death rate longer length hospital stay four time high people without condition forty two percent without prior diagnosis diabetes admit developed hyperglycemia,new research find people diabetes poorly manage hyperglycemia hospitalize death rate longer length hospital stay four time high people without condition
55,28,mild symptom quickly turn serious,mild symptom quickly turn serious,people mild symptom quickly become seriously ill expert say worsen condition usually cause overreaction immune system symptom first appear expert say important rest stay hydrate even symptoms mild say isolate home symptom statistic base publicly available time publication information date visi,expert say person mild symptom quickly become seriously ill need hospitalize
56,29,take away village new parent cope,take away village new parent cope,expert say shelter place add burden parent new baby say important new parent seek virtual assistance friend family advise friend family develop meal train drop food expert urge new parent practice self care share load child raise housework statistic base publicly available time publication information,expert say new parent need share load child raise housework seek virtual assistance family friend
57,30,make daily life challenge autism,make daily life challenge autism,shelter place people live autism find hard daily task face stress normal daily routine rely disrupt getty stay home order particularly challenge people live autism right autistic individual could face emotional distress change bring forth outbreak shelter place find hard daily task fa,shelter place autistic people find hard daily task face stress normal daily routine rely disrupt
58,31,alcohol affect immune system,alcohol affect immune system,people drink alcohol quarantine getty spike alcohol sale alarm health expert official around world increase drink make people even vulnerable respiratory disease know risk factor diabetes heart disease drink even less statistic base publicly available time publication information date visit,world health organization u surgeon general warn people avoid drink alcohol pandemic alcohol range harmful effect body diminish person immune response put risk
59,32,nurse work front line,nurse work front line,fight nurse real life superheroes getty many nurse around world making huge personal sacrifice help fight pandemic travel across country help others find work department never practice learn new routine protocol many case work without proper personal protective equipment ppe need ensure safety,nurse share daily life front line battle
60,33,longterm effect,longterm effect,even people recovery health issue remain getty patient develop acute respiratory distress syndrome ards could great risk long term health issue additionally people require intensive care increase risk mental health issue post traumatic stress disorder ptsd anxiety depression impair lung function sars cov infection negatively affect organ heart kidney br,severe illness especially people year age chronic disease diabetes cardiovascular issue
61,34,u safely reopen here health expert think,happen u economy reopen,healthline contact several public health specialist see think reopen country pandemic expert say sort physical distancing still require long term additionally reopen quickly could mean resurgence statistic base publicly available time publication information date visit hub follow live update page,regardless state choose reopen many people concerned affect health
62,35,people hospitalize face risk kidney damage,people hospitalize face risk kidney damage,doctor new york city say rate kidney injury among patient put strain dialysis machine treatment equipment getty doctor new york city say people hospitalize severe case experience kidney damage doctor say phenomenon put strain dialysis machine equipment use treat kidney injury say national effort need help new york city emerge health issue wel,doctor new york city say rate kidney injury among patient put strain dialysis machine treatment equipment
63,36,anesthesiologist vital fight toll take,anesthesiologist vital fight toll take,dr sasha shillcutt cardiac anesthesiologist say fellow anesthesiologist level high alert throughout hospital shift image via sasha shillcutt anesthesiologist call front line pandemic chief task intubation patient need ventilator delicate process expose anesthesiologist potential infection anesthesiologist say emotional component fill,anesthesiologist perform intubation need put patient ventilator task expose potential infection emotional component talk patient whose family nt allow visit
64,37,advocate family member hospitalize,advocate family member hospitalize,expert say phone call chat good way stay touch family member hospitalize getty family member learn patient advocate nt allow visit love one hospital expert say phone call chat best way stay touch hospitalize relative expert say important designate family member point person talk doctor add,expert say phone call chat best way communicate family member hospitalize designate family member talk medical personnel good strategy
65,38,way considerate shopper,way considerate shopper,time shop item buy number simple thing make grocery shopping safer everyone pandemic getty cdc certain recommendation pandemic keep u safer considerate shopper mean follow guideline important aware need others everyone able buy food supply need store employee delivery personn,time shop item buy number simple thing make grocery shopping safer everyone pandemic
66,39,could stick physical distancing,could stick physical distancing,level physical distancing need even next year getty country come lockdown likely resurgence sars cov infection level physical distancing need well future risk infection spike intermittent physical distancing need statistic base publicly available time publication information date visit,new study find physical distance necessary least form
67,40,develop twice here,develop twice here,world health organization say nt enough evidence understand people experience reactivation recovery need determine flare infect people discover tie functionality person immune system statistic base publicly available time publication information date visit coronaviru,south korea recently report significant number patient test positive test negative test positive experience symptom fever cough sore throat fatigue south korean health official suspect patient experience viral reactivation health expert united state nt think reactivation likely since never observe viral reactivation coronaviruses
68,41,paper towel well air dryer stop spread,paper towel well air dryer stop spread,paper towel well choice dry hand getty ongoing pandemic bring laser focus handwash hygiene new study find use paper towel effective conventional jet air dryer remove microbe dry poorly wash hand research team discover environmental contamination jet air dryer use statistic base publicly available time publication,pandemic routinely wash hand essential practice prevent infection however poor handwash leave hand still contaminate virus recent research find use jet air dryer dry poorly wash hand spread virus clothing surface
69,42,experimental drug help keep patient ventilator,experimental drug help keep patient ventilator,expert look keep patient ventilator possible getty people overreaction immune system damage lung anti inflammatory drug help reduce damage keep ventilator food drug administration give green light clinical trial compound still study use condition statistic base publicly available,rise lead scramble ventilator help sick patient expert hop experimental drug help treat patient need help breathing
70,43,simple way stay active youre stick home,simple way stay active youre stick home,physical activity nt take form traditional exercise order beneficial number way heart rate stay close home getty expert say remain physically active outbreak important way combat disease exercise many benefit reduce stress boost immune system physical activity nt take form traditional exercise order,physical activity nt take form traditional exercise order beneficial here heart rate stay close home
71,44,rural america could region hardest hit outbreak,rural america could hardest hit,expert say rural area older population less healthy few medical facility urban suburban region jeremy hogan echo wire barcroft medium via getty pandemic already swept city urban center illness appear build infectious prairie fire rural america well large town midwest nt case month ago many rural community nt see anything sim,expert say rural area older population less healthy few medical facility urban suburban region
72,45,glove reduce risk grocery store here,glove reduce risk grocery store,expert say nt need wear glove grocery store especially diligent wash hand touch face getty expert say wear glove grocery shopping probably wo nt low risk contract cause say glove make conscious touch item well send people nearby take precaution center disease control prevention provide tip,expert say regularly wash hand touch face maintain physical distancing effective method avoid
73,46,many percent people arent aware,percent people arent aware,researcher say percent percent people unaware allow novel spread rapidly throughout community expert say carrier without symptom make even important people wear face mask public statistic base publicly available time publication information date visit hub follow live update page,expert say carrier symptom allow spread quickly easily reason face mask become important
74,47,california do right battle,california do right battle,california instal strict shelter place order mid march expert say significantly contain spread early getty california look plan slowly lift shelter place order state fewer case deaths state expert say californias decision implement stay home order early big factor success battle outbreak add california healthcare system,california instal strict shelter place order mid march expert say thid significantly contain spread early
75,48,early hydroxychloroquine help treat people,fda issue warn hydroxycholorquine heart issue,health expert warn experimental drug find effective widely available getty antimalarial drug hydroxychloroquine widely promote cure still lack good true benefit small clinical trial show possible benefit others show opposite fda reissue warn people nt take drug without doctor supervision antimalarial drug hydroxychloroquine,result large well design trial currently underway hydroxychloroquine chloroquine use close supervision physician
76,49,clothe shoe track house,clothe shoe track house,transfer novel via clothing unlikely expert agree scenario immediate laundering good idea getty documented case transmission novel via clothing shoe point take care frequently close proximity individual laundry often essential part preventive hygiene include particular high risk individual,transfer via clothing unlikely expert agree scenario immediate laundering good idea
77,50,shelter place could throw skin balance,shelter place could throw skin balance,stress induce production release key stress hormone body huge impact skin getty stay inside long period time effect skin dry air stress change skincare routine disrupt skin health mild soap moisturizers facial help keep skin healthy statistic base publicly available time publication information,spend lot time indoors impact skin unexpected way restore skin natural balance
78,51,virtual visit doctor safest affordable option,virtual visit doctor safest affordable option,telehealth option make big difference people seek medical help pandemic especially old adult getty march center medicare medicaid service begin allow medicare beneficiary receive care via telehealth telemedicine best serve occurs doctor already relationship help keep patient chronic condition emergency room leave room,telehealth option make big difference people seek medical help pandemic especially old adult
79,52,herbal remedy,herbal remedy,talked expert use herbal remedy pandemic getty herbal remedy long use treat infection viruses common cold influenza fever even herpes big problem use herbs u many herbal natural remedy low quality certain herb misuse could boost immune system even lead cytokine storm statistic base publicly available,health official recommend traditional herbal remedy many expert warn nt enough understand different herb affect people health
80,53,happen police firefighter paramedic sick,happen police firefighter paramedic,expert say staff level become major concern frontline worker become ill getty frontline worker police officer firefighter paramedic hospital employee become ill expert say increase lack personal protective equipment well close contact worker staff level hospital police station ambulance affect expert say emerge,expert say staff level become major concern frontline worker become ill
81,54,hit men hard woman,hit men hard woman,expert say biology well behavior among reason men woman develop die disease getty several study show men die woman expert say part reason woman tend strong immune system men add men tend engage risky behavior ignore physical distancing nt take symptom seriously statistic base,expert say biology behavior among reason men woman die
82,55,hiv risk concern best way protect,hiv risk concern best way protect,currently scientific evidence establish hiv increase risk factor expert say nt mean people live hiv nt take extra step protect health getty currently scientific evidence establish live hiv increase risk factor hiv medication use clinical trial see whether combat sars cov cause far,currently scientific evidence establish hiv increase risk factor nt mean people live hiv nt take extra step protect health
83,56,peak u here,peak u here,despite high number death early sign united state avoid bad case scenario projection change time potential public health outcome thing expert agree away anytime soon fall possibility return along seasonal flu week expect difficult far deaths hospitalization relate united stat,sign social distancing help pull united state brink bad case scenario
84,57,best material make homemade face mask,best material make homemade face mask,pick right material face mask help keep safe getty use double thread count pillowcase flannel pajama could make mask provide percent filtration material use filter dangerous particle include hepa filter vacuum clean bags quilters cotton careful material household air filter contain fiberglass could still damage lung even filter,health official reverse course recommend people use face mask prevent transmission new shortage commercial mask mean improvise face covering home best way protect ensure supply mask healthcare provider
85,58,here exactly vaccine treatment,vaccine treatment,scientist around world work number vaccine treatment xinhua zhang yuwei via getty scientist around world work potential treatment vaccines new disease know several company work antiviral drug already use illness treat people already company work vaccine could use preventive measure aga,scientist around world work number vaccine treatment
86,59,happy hour people drink work home,people drink work home,new study report third people united state work home pandemic drinking job percent men percent woman say drink work hour expert say alcohol consumption work affect job performance could notice employer expert express concern possibility heavy alcohol use could increase shelter place order stat,new survey third people united state report drink work home trend expert concern rise heavy alcohol use
87,60,african american community hit hard,african american community hit hard,new figure indicate pandemic hitting african american community hard group expert say trend fuel factor higher rate underlie medical condition well lack health service expert say test do minority communities medical service provide statistic base publicly available time publication information date visit,expert say high rate underlie medical condition well lack health service reason high rate minority community
88,61,food long shelf life buy avoid,food long shelf life buy avoid,healthier choice consider item consider limit avoid altogether instead say look food rich antioxidant fiber protein healthy fat support energy need keep best important keep mind shelf life nutritional value tempt pack cart cooky sweet treat mind stressor face food wo nt support immune syst,nutritionist share pick long lasting food bring home next grocery trip one leave store
89,62,false negative test symptom assume disease,false negative test symptoms assume illness,expert say false negative test probably occur insufficient collecting sample laboratory examination getty early research indicate common test produce false negative percent time expert say inaccuracy probably cause collection sample actual laboratory test say people symptom assume illness even test,expert say false negative test probably occur insufficient collecting sample laboratory examination
90,63,build daily weekly routine shelterinplace drag,step help keep daily routine outbreak,expert say establish consistent daily weekly routine way people feel certainty isolation among advice daily routine create workspace outside bedroom dressed office among advice weekly routine make consistent still different well select certain exercise special dinner statistic base publicly available dat,expert say build maintain daily well weekly routine help establish certainty pandemic
91,64,here mild case,here mild case,expert say treat home mild case similar treat flu getty common symptom mild case include sore throat cough fever shortcut get best practice advice stay hydrate get plenty rest monitoring symptom mild symptom follow cdcs limit transmission high risk,expert say treat home mild case similar treat flu
92,65,sidewalk chalk music teddy bear people lift others spirit,people lift others spirit,celebrity musician create online video help lift people spirit shelter place order addition people create sidewalk chalk art put teddy bear windows help ease lockdowns isolation expert say effort show people try shine bright light darker pandemic statistic base publicly available time publication information da,people online create project neighborhood help ease isolation associate shelter place order
93,66,cdc say people work here expert think,cdc say people work here expert think,expert worry people asymptomatic could still spread getty cdc spark fiery debate among health expert guidance allow asymptomatic people expose work long take certain step expert say guidance could mean trigger second wave statistic base publicly available time publication information date,center disease control prevention cdc ease physical distancing guideline people expose new sars cov health expert divide guidance seem think strict measure necessary blunt spread
94,67,create fear frustration soldier sailor,create fear frustration soldier sailor,member military tell healthline adequately protected new sars cov base ship getty member army air force navy tell healthline fearful develop ship military base say pentagon enough protect close quarter veteran organization say u department veteran affair provide adequate healthcare vet,member military say adequately protect develop base ship veteran organization say veteran contract sars cov receive proper healthcare
95,68,clean kill avoid harsh chemical,find cleaning supply stop,simple way keep house clean outbreak getty sars cov potentially life threaten pathogen invade live space remarkably easily recent study find sars cov persist plastic stainless steel surface accord american lung association clean agent household product irritate eye throat cause health problem include cancer,expert say probably stay mean clean disinfect high traffic object surface home important reduce risk infection many store buy cleaner contain potentially harmful ingredient expert emphasize safe cleaning disinfect agent already available u home effective carry little risk harm healthp
96,69,itll still take year develop vaccine,itll still take year develop vaccine,expert say past research help speed process vaccine new potential product still time consume scientific step thibault savary afp via getty past research help speed search vaccine approval process probably still take month year expert note potential vaccine still need rigorous three phase clinical trial process expert add important,expert say past research help speed process vaccine new potential product still time consume scientific step
97,70,mild case,mild case,symptom vary widely different people range deadly pneumonia loss smell even symptoms many people report mild symptom initially severe fever cough percent case estimate mild still take severe toll statistic base publicly available time publication information date visit hub follow live update page,around percent people likely experience mild symptom reassure exactly infection threat even realize sick could easily pass people great chance develop complication
98,71,rely supplement treat prevent,rely supplement treat prevent,expert say nt count supplement way stop getty doctor warn rely supplement take harm good many vitamin mineral impact overall immunity single solely influence immunity add new supplement talk doctor statistic base publicly available time publication information date visit,doctor warn rely supplement take harm good try combat outbreak
99,72,serious effect people mental health disorder,serious effect people severe mental illness,expert say people severe mental illness likely contract new less likely proper treatment disease getty expert say people severe mental illness face serious issue pandemic say people mental illness lifestyle increase risk contract new underlying health condition raise risk develop serious case,expert say people severe mental illness likely contract new less likely proper treatment disease
100,73,pose high risk people asthma,pose high risk people asthma,expert say people asthma nt face high risk contract face high risk serious illness contract expert recommend people asthma consult doctor medication people asthma advise reduce stress take extra precaution around home statistic base publicly available time publication information date visit coron,expert say people asthma aware high risk illness continue take medication
101,74,stop stress embraced kid distance learning,stop stress embraced kid distance learning,distance learn outbreak provide kid benefit beyond academic getty stay home order important child still consistent structure although kid learn classroom online lesson meeting student help provide social interaction child miss stuck home child schoolwork seem overwhelming speak,distance learn outbreak provide child benefit beyond academic
102,75,mutate mean vaccine,mutate mean vaccine,expert learn could mutate tayfun coskun anadolu agency via getty every mutate part life cycle shift change nt always big deal new rna collection genetic material pack inside protein shell rna virus flu measles prone change mutation compare dna virus herpes smallpox human papillomavirus hpv new sars,new already mutate handful time many people wonder whether mutation could lead severe deadly disease new mutation extremely similar original nt seem aggressive
103,76,face mask crucial battle,face mask crucial battle,homemade face covering probably wo nt protect help prevent spread disease others spencer platt getty confirm case continue rise cdc recommend everyone wear cloth mask public expert say homemade mask wo nt protect someone get sick help prevent spread disease expert recommend tha,homemade face covering probably wo nt protect help prevent spread disease others infect
104,77,pet help shelter place,pet help shelter place,expert say pet help people feel less lonely well provide joy isolation outbreak getty expert say pet help people deal loneliness isolation shelter place order add pet especially dog help motivate people outside exercise take break work pet adoption rise outbreak expert say people take consideration live,expert say pet help people feel less lonely well provide joy isolation outbreak
105,78,antibody test help u fight,antibody test help u fight,expert learn antibody test help fight horacio villalobos corbis via getty fda approve first antibody test several group work blood test show whether someone possibly whether immune type test could help official discover long risk develop disease statistic base publicly available time publication,antibody test could potentially identify immunity enable healthcare worker first responder essential worker longer risk return work sooner
106,79,could affect kid longterm social development,could affect kid longterm social development,shelter place kid teens crave interaction friend ca nt replicate online getty social distance particularly difficult child teens child old socially adept peer group become important hub social development immediate family expert say parent worry impact stay home order childs social development,parent promote social development child stick home
107,80,care someone alzheimers outbreak tip,care someone alzheimers outbreak,care people alzheimers disease period social distance challenge follow simple tip help getty demonstrate wash hand love alzheimers disease help ensure practice safe hygiene alzheimers association recommend plan caregiver step case become ill talk love pandemic term understand practice self care yo,simple tip expert help caregiver navigate complex quickly change environment care people alzheimer social distancing
108,81,pain med condoms medical supply shortage,pain med condoms medical supply shortage,mask use medical personnel focus shortage expert say product pain reliever saline bag could affect ina fassbender afp via getty addition mask gloves health official say pandemic could result shortage medical supply saline bags prescription pain reliever particular concern shortage drug use treat malaria lupus test poten,mask use medical personnel focus shortage expert say product pain med saline bag could affect
109,82,could become seasonal illness well need,could become seasonal illness well need,expert say sign could become seasonal illness influenza say good treatment vaccine important return next year health official australia already tell citizen flu shot early start practice social distancing southern hemisphere begin enter winter season statistic base publicly available time publication information dat,health official say become seasonal expert use time outbreak develop good treatment vaccine
110,83,even social gather quickly spread,even social gather quickly spread,expert say two three time contagious flu spread rapidly person person gathering getty expert note example across country social gathering choir practice funeral quickly spread note illness cause novel appear two three time contagious flu add early research indicate people transmit,expert say two three time contagious flu spread rapidly person person gathering wedding funeral church service
111,84,life front line outbreak,life front line outbreak,health care provider take extra step avoid new york city stephanie keith getty statistic base publicly available time publication information date visit hub follow live update page recent information outbreak physician tell u battle new epicenter u outbreak new york city regular life become surreal,health official say occur nearly every thousand people new york state attack rate time higher experienced rest u
112,85,diabetes blood pressure med,diabetes med risk,medical expert say key stop medication without talk physician getty concern begin study state ibuprofen boost angiotensin convert enzyme ace facilitate worsen world health organization warn patient stick acetaminophen say advise use ibuprofen cardiologist advise patient stay medication statistic base,could people certain medication hypertension cardiovascular disease diabetes risk experience severely question raise concern medication make bad people follow report ibuprofen could harm good patient
113,86,here smart safe way grocery shop,here smart safe way grocery shop,know buy help well prepared pandemic getty course best time shop pandemic begin many thing pandemic prepare nonperishable food water hand prepare sort natural disaster pandemic necessary hoard pandemic practice social distance keep hand clean help keep safe whi,here everything safe efficient way grocery shop pandemic
114,87,people vape face high health risk,people vape face high health risk,expert say people use cigarette regular cigarette could face high risk serious illness say vaping smoking damage lungs make difficult person fight expert add despite potential serious consequence people vape smoke might still consider high priority patient medical facility say best thing stop smoking vaping,expert say cigarette cigarette damage lung make difficult person fight
115,88,home healthcare worker navigate outbreak,home healthcare worker navigate outbreak,home healthcare worker use everything televisits protective gear thermometer continue take care people home getty outbreak force home healthcare worker change treat old adult ill people agency official say worker conduct televisits help avoid transmit client wear personal protective gear often carry thermometer check fever,home healthcare worker use everything televisits protective gear thermometer continue take care people home
116,89,immunocompromised outbreak,immunocompromised outbreak,outbreak grow united state people immunocompromised put great danger simply live life majority americans sort shelter place order talk two people immunocompromised life pandemic estimate percent american live least chronic health condition put seriously risk complication novel statistic ar,outbreak grow united state people immunocompromised put great danger simply live life majority americans sort shelter place order talk two people immunocompromised life pandemic
117,90,clean common surface outbreak,clean common surface outbreak,recent study report live surface cardboard hour plastic stainless steel however microbiologist say nt call panic bathroom kitchens area harbor germ home expert say proper clean clear away variety germ statistic base publicly available time publication information date visit hub foll,clean home pandemic area harbor germ best way disinfect accord expert
118,91,keep teeth healthy outbreak,keep teeth healthy outbreak,many dentist office close expert say important ever brush properly floss regularly getty dentist office close routine procedure outbreak dentist urge people brush twice floss take care teeth say keep toothbrush clean important good dental health statistic base publicly available time publication informat,many dentist office close expert say important ever brush properly floss regularly
119,92,damage heart here,damage heart,hurt heart accord new reserach marco mantovani getty new study find cause heart injury even people without underlying heart issue accord research chinese center disease control prevention ccdc death rate patient heart disease percent expert say important people cardiovascular disease isolate people symptom statistic,typically consider threat lung present significant threat heart health accord recently publish research
